Ext.1(Strain)	Stress	
%	        N/mm2
0.09421869	128.8935
0.09132587	129.1955
0.09074562	129.5395
0.09281433	129.8679
0.09152769	130.1948
0.09381504	130.5357
0.09422711	130.8475
0.09286478	131.1563
0.09461393	131.5007
0.09617808	131.8147
0.09703584	132.1203
0.09899522	132.4472
0.09621172	132.7611
0.09608558	133.0755
0.09704424	133.3838
0.0976245	133.7132
0.09589216	134.022
0.09738903	134.3416
0.09881022	134.6721
0.1008032	134.9995
0.1008705	135.3092
0.1019721	135.6227
0.1017451	135.9392
0.1037045	136.2448
0.1007191	136.5432
0.1010892	136.8757
0.101148	137.1705
0.1023337	137.4782
0.1010892	137.7746
0.1024935	138.1035
0.1036288	138.4096
0.104537	138.708
0.1045454	139.0245
0.1063366	139.3297
0.1074214	139.6394
0.1058236	139.9508
0.1062777	140.2445
0.107371	140.575
0.1088846	140.8894
0.1091706	141.1567
0.1061264	141.4634
0.1082287	141.7706
0.1085819	142.0467
0.1071607	142.371
0.1083801	142.631
0.1105161	142.946
0.1102217	143.2267
0.1094985	143.5096
0.1103395	143.8292
0.1106758	144.1064
0.1134425	144.3996
0.1150067	144.7016
0.1123157	144.9943
0.1153262	145.3077
0.1142078	145.591
0.1143003	145.8687
0.117437	146.1608
0.1142919	146.4437
0.1152085	146.7509
0.1160579	147.0239
0.117437	147.3
0.1166045	147.6056
0.1176725	147.8895
0.1174454	148.163
0.1192955	148.4516
0.1182779	148.7354
0.1171595	149.0199
0.11869	149.3042
0.1193291	149.6011
0.1188666	149.8627
0.1223733	150.1595
0.1216921	150.4387
0.1220369	150.7376
0.1231722	151.0334
0.1251316	151.2872
0.1229199	151.5623
0.1235842	151.8519
0.1245429	152.1332
0.1233488	152.4015
0.1258884	152.6667
0.1267462	152.9444
0.1277889	153.2303
0.1283776	153.4992
0.1286467	153.7815
0.1285206	154.0752
0.1273096	154.3462
0.1309256	154.6026
0.1314218	154.8818
0.1300006	155.147
0.132885	155.4097
0.1317498	155.7076
0.1286215	155.9717
0.1343819	156.2364
0.1352733	156.4996
0.136274	156.7695
0.1350378	157.0202
0.1374093	157.301
0.1378297	157.5641
0.1375606	157.819
0.1364422	158.091
0.1384604	158.3697
0.1412524	158.6168
0.1378718	158.8716
0.1316404	159.1301
0.1388893	159.4021
0.1435145	159.672
0.1427997	159.9144
0.1426231	160.1895
0.1415803	160.4568
0.1426483	160.7059
0.1426483	160.9722
0.1441284	161.2354
0.1457261	161.4903
0.1478705	161.7348
0.1461466	161.9782
0.1447759	162.2378
0.148661	162.4761
0.1524957	162.7221
0.150099	162.9573
0.1480556	163.2127
0.1508643	163.4639
0.1499477	163.7131
0.1512343	163.9488
0.1534628	164.1949
0.1507718	164.4109
0.1525293	164.6652
0.1533366	164.918
0.154699	165.1568
0.1567256	165.3946
0.1552287	165.6345
0.1537907	165.8484
0.1539169	166.081
0.156734	166.3131
0.1582814	166.5576
0.1614181	166.8094
0.1614265	167.0424
0.1632345	167.2642
0.1607201	167.5164
0.1621413	167.7464
0.1652696	167.9614
0.1643782	168.2132
0.1661273	168.4619
0.1679942	168.6799
0.1665057	168.9172
0.1686333	169.1575
0.1681456	169.3943
0.167456	169.6134
0.1678092	169.8315
0.1698863	170.0501
0.1716691	170.2967
0.1720727	170.5231
0.1712318	170.7443
0.1728548	170.996
0.1718036	171.2203
0.1747721	171.456
0.176639	171.6513
0.1781191	171.8917
0.1783125	172.1103
0.1813903	172.3201
0.1825172	172.5615
0.1828956	172.7889
0.1824835	173.0034
0.1795571	173.2142
0.1835347	173.437
0.1835852	173.6742
0.1808185	173.8928
0.1779761	174.113
0.1828872	174.3451
0.1850484	174.5372
0.185368	174.7517
0.1852839	174.9739
0.1891774	175.1988
0.191633	175.4049
0.188942	175.6329
0.1903715	175.8282
0.1946771	176.0312
0.1976036	176.2675
0.1973093	176.4938
0.1978559	176.6933
0.197797	176.9025
0.1983184	177.1237
0.1989659	177.3159
0.1989575	177.5201
0.2028427	177.7459
0.2043311	177.9422
0.2019513	178.1209
0.199933	178.352
0.2042807	178.5628
0.2032968	178.756
0.2044573	178.956
0.2059205	179.1611
0.2063241	179.3714
0.2103522	179.5714
0.2103102	179.7626
0.2102009	179.9775
0.2123284	180.1936
0.2139178	180.392
0.2143635	180.5738
0.2152885	180.7748
0.2167265	180.9747
0.2176852	181.1581
0.2194007	181.3638
0.2194512	181.5513
0.2201828	181.73
0.2224533	181.9632
0.221461	182.118
0.2224449	182.3237
0.2236979	182.533
0.2241857	182.7112
0.2253041	182.9065
0.2277681	183.1111
0.2266832	183.2908
0.228651	183.4664
0.2295593	183.6654
0.2310309	183.8622
0.2296518	184.0668
0.232881	184.2248
